exchange,inputdate,companyName,valueEUR,tradeSignificance
	FIRST NORTH SWEDEN,20170102,JAYS GROUP AB,34488.2739,3
	FIRST NORTH SWEDEN,20170102,JAYS GROUP AB,15379.0623,3
	FIRST NORTH SWEDEN,20170102,JAYS GROUP AB,15839.9333,3
NASDAQ STOCKHOLM AB,20170102,B&B TOOLS AB,56237.9216,3
NASDAQ STOCKHOLM AB,20170102,ICA GRUPPEN AB,21639.6636,3
Istanbul (Turkey),20170102,NET HOLDING AS,185183.9886,3
Istanbul (Turkey),20170102,NET HOLDING AS,150325.4645,3
Istanbul (Turkey),20170102,NET HOLDING AS,149939.2942,3
off exchange,20170102,BYGGPARTNER I DALARNA HLDG,298151.6915,2
off exchange,20170102,SAY REKLAMCILIK YAPI DEKORAS,1390371.0904,2
off exchange,20170102,HOEGH LNG HOLDING LTD,356932.0171,1
off exchange,20170102,HOEGH LNG HOLDING LTD,356932.0171,1
off exchange,20170102,HOEGH LNG HOLDING LTD,356932.0171,1
off exchange,20170102,HOEGH LNG HOLDING LTD,356932.0171,1
off exchange,20170102,HOEGH LNG HOLDING LTD,28901.2953,1
off exchange,20170102,MONNARI TRADE SA,407752.0252,2
off exchange,20170102,MONNARI TRADE SA,406851.8013,2
Istanbul (Turkey),20170102,GEN YATIRIM HOLDING AS,4749.8203,3
OMX-Copenhagen (Denmark),20170102,BLUE VISION A/S,3204.4438,3
OMX-Copenhagen (Denmark),20170102,BLUE VISION A/S,7130.8454,3
off exchange,20170102,ARCUS ASA,21282739.0195,2
Oslobors (Norway),20170102,ARCUS ASA,4087133.0115,1
Oslobors (Norway),20170102,ARCUS ASA,2268542.6555,3
Oslobors (Norway),20170102,ARCUS ASA,1141256.7256,3
Oslobors (Norway),20170102,ARCUS ASA,49256.3143,3
Oslobors (Norway),20170102,ARCUS ASA,1606739.05,3
off exchange,20170102,ARCUS ASA,21381884.5556,2
ATHEX (Greece),20170102,MLS MULTIMEDIA SA,20660.5,3
AKTIETORGET,20170102,AMBIA TRADING GROUP AB,145.0756,3
OMX-Copenhagen (Denmark),20170102,ASGAARD GROUP A/S,320.1816,3
OMX-Copenhagen (Denmark),20170102,ASGAARD GROUP A/S,6666.1489,3
Warsaw Stock Exchange (Poland),20170102,WOJAS SA,2406.0736,3
Warsaw Stock Exchange (Poland),20170102,WOJAS SA,3608.4147,3
Warsaw Stock Exchange (Poland),20170102,WOJAS SA,2661.589,3
Warsaw Stock Exchange (Poland),20170102,WOJAS SA,3230.4783,3
OTC,20170102,HUMANA AB,2009179.184,2
NASDAQ STOCKHOLM AB,20170102,VITEC SOFTWARE GROUP AB,23531.2988,3
off exchange,20170102,SAY REKLAMCILIK YAPI DEKORAS,4171113.2712,2
OMX-Copenhagen (Denmark),20170102,ALM BRAND A/S,88124.4233,1
Wiener Boerse (Austria),20170102,UNTERNEHMENS INVEST AG,14300.0,3
Wiener Boerse (Austria),20170102,UNTERNEHMENS INVEST AG,2200.0,3
Frankfurt (Germany),20170102,AHLERS AG,13980.0,3
Frankfurt (Germany),20170102,AHLERS AG,13360.0,3
market transaction,20170102,JINHUI SHIPPING & TRANSN LTD,89866.253,3
Oslobors (Norway),20170102,NORDIC MINING ASA,751.4639,3
	FIRST NORTH SWEDEN,20170102,ARCTIC MINERALS AB,2271.93,3
Wiener Boerse (Austria),20170102,BWT GROUP,14950.0,1
market transaction,20170102,PRIVATE ASSETS AG,690.0,3
market transaction,20170102,MEDIKA DD,11441.5199,3
off exchange,20170102,SAY REKLAMCILIK YAPI DEKORAS,688660.858,2
NORDIC GROWTH MARKET,20170102,OBDUCAT AB,192.6968,3
Warsaw Stock Exchange (Poland),20170102,KRYNICA VITAMIN SA,30058.7041,3
OTC,20170102,SOCFINAL,14151390.0,2
off exchange,20170102,OUTOKUMPU OY,0.0,1
	FIRST NORTH SWEDEN,20170102,JAYS GROUP AB,15014.5374,3
market transaction,20170102,IBERDROLA SA,185400.0,3
OTC,20170102,EBRO FOODS SA,67500016.74,2
Italian regulated market (Italy),20170102,NOTORIOUS PICTURES SPA,13424.0,3
market transaction,20170102,BARON DE LEY SA,1760.18,3
market transaction,20170102,BARON DE LEY SA,36312.5,3
market transaction,20170102,BARON DE LEY SA,18795.0,3
Warsaw Stock Exchange (Poland),20170102,INTERSPORT POLSKA,433.5324,3
Warsaw Stock Exchange (Poland),20170102,INTERSPORT POLSKA,431.2626,3
Warsaw Stock Exchange (Poland),20170102,INTERSPORT POLSKA,1703.1014,3
Wiener Boerse (Austria),20170102,AMAG AUSTRIA METALL AG,16625.0,3
Wiener Boerse (Austria),20170102,AMAG AUSTRIA METALL AG,19896.0,3
OTC,20170102,DEUTSCHE KONSUM REIT AG,14110000.0,2
NOT OTC,20170102,TUI AG,3842693.4851,3
NOT OTC,20170102,TUI AG,4594857.82,3
NOT OTC,20170102,TUI AG,538522.09,3
NOT OTC,20170102,TUI AG,2176265.4942,3
Warsaw Stock Exchange (Poland),20170102,WDX SA,373.3826,3
Warsaw Stock Exchange (Poland),20170102,WDX SA,1838.3385,3
Warsaw Stock Exchange (Poland),20170102,WDX SA,1303.321,3
Warsaw Stock Exchange (Poland),20170102,WDX SA,1073.0903,3
Italian regulated market (Italy),20170102,OVS SPA,19867.71,3
off exchange,20170102,POWERCELL SWEDEN AB,188479.9572,1
Zagreb (Croatia),20170102,HRVATSKI TELEKOM DD,39039.2134,1
Zagreb (Croatia),20170102,HRVATSKI TELEKOM DD,61844.9782,1
Warsaw Stock Exchange (Poland),20170102,OPONEO.PL SA,74676.523,3
XETRA (Germany),20170102,SCHERZER & CO AG,25076.54,3
off exchange,20170102,KARSUSAN KARADENIZ SU URUNLE,15675.4349,2
off exchange,20170102,KARSUSAN KARADENIZ SU URUNLE,15675.4349,2
Warsaw Stock Exchange (Poland),20170102,KPPD SA,295.0744,3
Vilnius Stock Exchange (Lithuania),20170102,BANK OF SIAULIAI AB,3825.0,3
Vilnius Stock Exchange (Lithuania),20170102,BANK OF SIAULIAI AB,65250.0,3
off exchange,20170102,BYGGPARTNER I DALARNA HLDG,718373.8257,1
off exchange,20170102,BYGGPARTNER I DALARNA HLDG,1345908.8396,1
OMX-Helsinki (Finland),20170102,BASWARE OYJ,20027.0088,3
ATHEX (Greece),20170102,MINOAN LINES SA,297.6,3
ATHEX (Greece),20170102,MINOAN LINES SA,1917.6,3
Euronext Paris (France),20170102,FAIVELEY TRANSPORT,388200.0,2
off exchange,20170102,FAIVELEY TRANSPORT,213160.6201,1
OTC,20170102,HERMES INTERNATIONAL,1146900.0,2
Alternext Paris (France),20170102,DIETSWELL,144.15,3
Alternext Paris (France),20170102,ABIVAX SA,47865.5633,3
Alternext Paris (France),20170102,CARMAT,15600.0066,3
Euronext Paris (France),20170102,EUTELSAT COMMUNICATION,1987.2,3
Euronext Paris (France),20170102,COFACE SA,3110.0,3
Euronext Paris (France),20170102,DANONE,150014.9625,3
NASDAQ STOCKHOLM AB,20170102,ROTTNEROS AB,58273.6695,3
SIX (Switzerland),20170102,KUDELSKI SA,165064.7241,3
SIX (Switzerland),20170102,KUDELSKI SA,1766048.0002,3
Italian regulated market (Italy),20170102,ENEL SPA,851676.93,1
Italian regulated market (Italy),20170102,ENEL SPA,448682.658,3
Italian regulated market (Italy),20170102,ENEL SPA,399093.9372,3
off exchange,20170102,P/F BAKKAFROST HOLDING,0.0,1
off exchange,20170102,P/F BAKKAFROST HOLDING,0.0,1
off exchange,20170102,P/F BAKKAFROST HOLDING,0.0,1
Warsaw Stock Exchange (Poland),20170102,ALTUS TOWARZYSTWO FUNDUSZY,338200.6666,3
Warsaw Stock Exchange (Poland),20170102,ALTUS TOWARZYSTWO FUNDUSZY,14216.8665,3
Oslobors (Norway),20170103,SERODUS ASA,13240.203,3
Istanbul (Turkey),20170103,PARSAN MAKINA PARCALARI SANA,6721.9634,3
Istanbul (Turkey),20170103,PARSAN MAKINA PARCALARI SANA,6730.0524,3
Istanbul (Turkey),20170103,MCT DANISMANLIK AS,74.1492,3
Istanbul (Turkey),20170103,MCT DANISMANLIK AS,13.5356,3
Warsaw Stock Exchange (Poland),20170103,MAGNA POLONIA SA,1791.1584,3
Warsaw Stock Exchange (Poland),20170103,MAGNA POLONIA SA,1813.8313,3
Warsaw Stock Exchange (Poland),20170103,MAGNA POLONIA SA,662.7944,3
OMX-Copenhagen (Denmark),20170103,BLUE VISION A/S,1098.1068,3
OMX-Copenhagen (Denmark),20170103,BLUE VISION A/S,1776.7286,3
Euronext Amsterdam (Netherlands),20170103,LUCAS BOLS BV,23625.0,3
NYSE/NASDAQ/AMEX (USA),20170103,CONSTELLIUM NV,6584.5899,1
NYSE/NASDAQ/AMEX (USA),20170103,CONSTELLIUM NV,6563.4516,1
Euronext Amsterdam (Netherlands),20170103,GEMALTO,690626.0,3
Euronext Amsterdam (Netherlands),20170103,GEMALTO,345503.5,2
Euronext Bruxelles (Belgium),20170103,AIRBUS SE,610800.0,3
off exchange,20170103,FUGRO NV,0.0,1
Euronext Amsterdam (Netherlands),20170103,FUGRO NV,102562.2,1
off exchange,20170103,HEINEKEN NV,0.0,1
OMX-Copenhagen (Denmark),20170103,ALM BRAND A/S,80179.5098,1
Wiener Boerse (Austria),20170103,BWT GROUP,17802.0,1
Italian regulated market (Italy),20170103,ASSICURAZIONI GENERALI SPA,49424.06,3
XETRA (Germany),20170103,SCHNEIDER-NEUREITHER & PARTN,347655.67,3
SIX (Switzerland),20170103,KUEHNE & NAGEL INTERNATIONAL,2516586.11,3
Warsaw Stock Exchange (Poland),20170103,BUMECH SA,7064.6373,3
Warsaw Stock Exchange (Poland),20170103,BUMECH SA,52489.596,3
market transaction,20170103,REPSOL SA,32438.6,3
off exchange,20170103,REPSOL SA,67250.0,3
market transaction,20170103,SERVICE POINT SOLUTIONS SA,13510.0,3
Bolsa de Madrid (Spain),20170103,SERVICE POINT SOLUTIONS SA,173643.938,3
market transaction,20170103,PRIVATE ASSETS AG,670.0,3
market transaction,20170103,NEUROSOFT SA,8390.1,3
Warsaw Stock Exchange (Poland),20170103,WDX SA,592.2107,3
Warsaw Stock Exchange (Poland),20170103,WDX SA,2327.1378,3
Warsaw Stock Exchange (Poland),20170103,WDX SA,247.9034,3
Warsaw Stock Exchange (Poland),20170103,WDX SA,446.0163,3
Warsaw Stock Exchange (Poland),20170103,WDX SA,2413.7803,3
Warsaw Stock Exchange (Poland),20170103,WDX SA,1.2017,3
Warsaw Stock Exchange (Poland),20170103,WDX SA,1213.3321,3
Warsaw Stock Exchange (Poland),20170103,WDX SA,1017.9601,3
Warsaw Stock Exchange (Poland),20170103,ENERGOAPARATURA SA,80001.8849,3
market transaction,20170103,BANCO POPULAR ESPANOL,71203.4,3
market transaction,20170103,BANCO POPULAR ESPANOL,44408.0,3
Bolsa de Madrid (Spain),20170103,PAPELES & CARTONES EUROPA SA,10400.0,3
Bolsa de Madrid (Spain),20170103,FAES FARMA SA,740250.0,2
off exchange,20170103,FAES FARMA SA,740250.0,2
LSE (UK),20170103,ADVANCED ONCOTHERAPY PLC,25538.85,3
off exchange,20170103,A3 ALLMANNA IT,4694070.1889,2
Bolsa de Madrid (Spain),20170103,FAES FARMA SA,1680.0,3
off exchange,20170103,OLD MUTUAL PLC,0.0,1
LSE (UK),20170103,OLD MUTUAL PLC,156982.8282,2
market transaction,20170103,VIDRALA SA,6661.28,3
market transaction,20170103,VIDRALA SA,12835.38,3
market transaction,20170103,VIDRALA SA,233289.0,3
market transaction,20170103,VIDRALA SA,2941.2,3
market transaction,20170103,VIDRALA SA,3138.56,3
market transaction,20170103,VIDRALA SA,84991.5,3
Warsaw Stock Exchange (Poland),20170103,VANTAGE DEVELOPMENT SA,10658.3781,3
Warsaw Stock Exchange (Poland),20170103,VANTAGE DEVELOPMENT SA,3920.6366,3
Oslobors (Norway),20170103,ROMREAL LTD,331460.8327,3
off exchange,20170103,VIKING SUPPLY SHIPS AB,288557.3114,2
off exchange,20170103,REDROW PLC,10566.7432,1
SIX (Switzerland),20170103,CLARIANT AG,499783.4568,3
NASDAQ STOCKHOLM AB,20170103,DGC ONE AB,27205.2612,3
off exchange,20170103,OBDUCAT AB,8918.7334,1
NORDIC GROWTH MARKET,20170103,LIFEASSAYS AB,2358.4869,3
OTC,20170103,EVRAZ PLC,8322545.046,2
Malta,20170103,BANK OF VALLETTA LTD,631.09,3
not reported,20170103,AMBIA TRADING GROUP AB,706.2904,3
OMX-Helsinki (Finland),20170103,ELITE VARAINHOITO,11203.038,3
Warsaw Stock Exchange (Poland),20170103,VANTAGE DEVELOPMENT SA,7759.6499,3
Warsaw Stock Exchange (Poland),20170103,VANTAGE DEVELOPMENT SA,368.4894,3
Warsaw Stock Exchange (Poland),20170103,VANTAGE DEVELOPMENT SA,3390.1025,3
Warsaw Stock Exchange (Poland),20170103,VANTAGE DEVELOPMENT SA,158.4504,3
Warsaw Stock Exchange (Poland),20170103,VANTAGE DEVELOPMENT SA,2719.4518,3
Warsaw Stock Exchange (Poland),20170103,VANTAGE DEVELOPMENT SA,343.4321,3
Italian regulated market (Italy),20170103,SITI B&T GROUP SPA,28782.0,3
Italian regulated market (Italy),20170103,SITI B&T GROUP SPA,31140.0,3
NASDAQ STOCKHOLM AB,20170103,BYGGPARTNER I DALARNA HLDG,3.8596,3
off exchange,20170103,A3 ALLMANNA IT,521562.8328,2
Istanbul (Turkey),20170103,EURO MENKUL KIYMET,271920.6741,3
OTC,20170103,BAUMOT GROUP AG,120000.0,2
NASDAQ STOCKHOLM AB,20170103,ATTENDO AB,58820.8659,3
ATHEX (Greece),20170103,FF GROUP,162788.74,3
off exchange,20170103,CARNIVAL CORP/PLC (USA),0.0,1
NYSE/NASDAQ/AMEX (USA),20170103,CARNIVAL CORP/PLC (USA),3013561.1092,1
off exchange,20170103,CARNIVAL CORP/PLC (USA),0.0,1
NYSE/NASDAQ/AMEX (USA),20170103,CARNIVAL CORP/PLC (USA),3013561.1092,1
off exchange,20170103,CARNIVAL CORP/PLC (USA),0.0,1
NYSE/NASDAQ/AMEX (USA),20170103,CARNIVAL CORP/PLC (USA),3013561.1092,1
off exchange,20170103,CARNIVAL CORP/PLC (USA),0.0,1
NYSE/NASDAQ/AMEX (USA),20170103,CARNIVAL CORP/PLC (USA),753340.601,1
XETRA (Germany),20170103,ADESSO AG,285905.0,3
Euronext Paris (France),20170103,DIRECT ENERGIE,14974.9592,3
Euronext Paris (France),20170103,DIRECT ENERGIE,17661.75,3
Euronext Paris (France),20170103,DIRECT ENERGIE,17655.0,3
off exchange,20170103,EURAZEO,49572.6,1
off exchange,20170103,EURAZEO,58985.82,1
off exchange,20170103,EURAZEO,379987.7401,1
off exchange,20170103,EURAZEO,73822.98,1
off exchange,20170103,EURAZEO,449994.1603,1
Euronext Paris (France),20170103,FAIVELEY TRANSPORT,12000.0,3
Euronext Paris (France),20170103,FAIVELEY TRANSPORT,100000.0,1
Euronext Paris (France),20170103,LANSON-BCC,41765.8,3
Euronext Paris (France),20170103,LANSON-BCC,50200.2,3
Euronext Paris (France),20170103,LANSON-BCC,58549.9,3
Euronext Paris (France),20170103,ILIAD,1087715.4,3
Alternext Paris (France),20170103,ABIVAX SA,24004.8226,3
Alternext Paris (France),20170103,CARMAT,19524.228,3
Euronext Paris (France),20170103,NATUREX SA,8400.0,3
Euronext Paris (France),20170103,NATUREX SA,3863.8988,3
Euronext Paris (France),20170103,NATUREX SA,25200.0,3
Euronext Paris (France),20170103,NATUREX SA,11591.6964,3
Euronext Paris (France),20170103,DIRECT ENERGIE,17584.38,3
OTC,20170103,LES HOTELS DE PARIS,1506000.0,2
Euronext Paris (France),20170103,WENDEL,57300.0,3
Euronext Bruxelles (Belgium),20170103,IMMOBILIERE DE BELGIQUE,63589.0,3
Euronext Bruxelles (Belgium),20170103,IMMOBILIERE DE BELGIQUE,29337.55,3
Euronext Bruxelles (Belgium),20170103,IMMOBILIERE DE BELGIQUE,44835.53,3
Euronext Bruxelles (Belgium),20170103,PROXIMUS SA,172993.0,2
off exchange,20170103,PROXIMUS SA,125075.0,1
NOT OTC,20170103,ANHEUSER-BUSCH INBEV,47660124.4,3
market transaction,20170103,TOUCHSTONE EXPLORATION INC,5302.5478,3
NYSE/NASDAQ/AMEX (USA),20170103,LOGITECH INTERNATIONAL SA,309364.8352,2
NYSE/NASDAQ/AMEX (USA),20170103,LOGITECH INTERNATIONAL SA,164055.7063,2
NYSE/NASDAQ/AMEX (USA),20170103,CHICAGO BRIDGE & IRON CO,41160.5757,1
NYSE/NASDAQ/AMEX (USA),20170103,CHICAGO BRIDGE & IRON CO,31562.459,1
OTC,20170103,LANCASHIRE HLDGS,24449.5753,2
off exchange,20170103,HOCHSCHILD MINING PLC,0.0,1
off exchange,20170103,CARNIVAL CORP/PLC (GBR),0.0,1
LSE (UK),20170103,CARNIVAL CORP/PLC (GBR),1482068.0517,1
Italian regulated market (Italy),20170103,WM CAPITAL SPA,22828.5,3
Italian regulated market (Italy),20170103,WM CAPITAL SPA,10575.0,3
Italian regulated market (Italy),20170103,MAILUP SPA,1365.0,3
Italian regulated market (Italy),20170103,MAILUP SPA,39171.6,3
market transaction,20170103,ZALARIS ASA,5652.2977,3
New Connect warsaw (Poland),20170104,GC INVESTMENT S.A.,19.3704,3
LSE (UK),20170104,BLANCCO TECHNOLOGY GROUP PLC,59659.0313,3
Warsaw Stock Exchange (Poland),20170104,MAGNA POLONIA SA,33192.7435,3
London (UK),20170104,QUANTUM PHARMA PLC,105484.7,2
Bucharest (Romania),20170104,SIF OLTENIA SA,1810.7817,3
Oslobors (Norway),20170104,SOLSTAD OFFSHORE,344177.5335,3
Warsaw Stock Exchange (Poland),20170103,NOVITA,4185.063,3
off exchange,20170103,NOVITA,183.8314,3
off exchange,20170103,NOVITA,70.9313,3
off exchange,20170103,NOVITA,142.5436,3
off exchange,20170103,NOVITA,285.9952,3
off exchange,20170103,NOVITA,271.6954,3
off exchange,20170103,NOVITA,288.265,3
off exchange,20170103,NOVITA,434.4403,3
off exchange,20170103,NOVITA,295.0744,3
off exchange,20170103,NOVITA,1769.1981,3
NASDAQ STOCKHOLM AB,20170104,HEMFOSA FASTIGHETER AB,4190.3743,3
OMX-Copenhagen (Denmark),20170104,ALM BRAND A/S,141168.4596,1
Budapest (Hungary),20170104,OTP BANK PLC,81858.4678,3
Wiener Boerse (Austria),20170104,BWT GROUP,20470.0,1
off exchange,20170104,ALERION CLEAN POWER SPA,40816.32,1
SIX (Switzerland),20170104,PARTNERS GROUP AG,25691.8512,3
OMX-Helsinki (Finland),20170104,AKTIA BANK PLC,133370.8956,3
off exchange,20170104,POWERCELL SWEDEN AB,21790.3679,1
market transaction,20170104,CAIXABANK SA,323000.0,3
market transaction,20170104,CAIXABANK SA,877500.0,3
OMX-Copenhagen (Denmark),20170104,DFDS AS,162989.5774,1
market transaction,20170104,PRIVATE ASSETS AG,694.0,3
off exchange,20170104,MORGAN ADVANCED MATERIALS,0.0,1
	FIRST NORTH SWEDEN,20170104,CATENA MEDIA PLC,5257.2922,3
Frankfurt (Germany),20170104,UNIPER SE,72682.5,3
Italian regulated market (Italy),20170104,BPER BANCA,111340.0,3
NOT OTC,20170104,DORO AB,891470.0287,1
Zagreb (Croatia),20170104,MEDIKA DD,2313.0537,3
Zagreb (Croatia),20170104,HRVATSKI TELEKOM DD,15066.8681,1
Zagreb (Croatia),20170104,HRVATSKI TELEKOM DD,22022.9853,1
LSE (UK),20170104,NEX GROUP PLC,105437.556,3
LSE (UK),20170104,NEX GROUP PLC,16987.1618,3
London (UK),20170104,NEX GROUP PLC,856012.495,3
London (UK),20170104,NEX GROUP PLC,293589.26,3
Bolsa de Madrid (Spain),20170104,CORP FINANCIERA ALBA,117700.0,2
Bolsa de Madrid (Spain),20170104,CORP FINANCIERA ALBA,117700.0,2
off exchange,20170104,CORP FINANCIERA ALBA,235400.0,2
JSE (South Africa),20170104,NASPERS LTD,34242.9956,3
Warsaw Stock Exchange (Poland),20170104,HERKULES SA,4162.1512,3
Warsaw Stock Exchange (Poland),20170104,HERKULES SA,3954.7347,3
OTC,20170104,MABION SA,88947.6739,2
OMX-Copenhagen (Denmark),20170104,ASGAARD GROUP A/S,1863.377,3
MTA-Borsa Italiana,20170104,BANCA MEDIOLANUM,69286.0,3
OMX-Copenhagen (Denmark),20170104,ASGAARD GROUP A/S,6356.6625,3
XETRA (Germany),20170104,INNOGY SE,15935.0,3
off exchange,20170104,TATE & LYLE PLC,0.0,1
London (UK),20170104,TATE & LYLE PLC,125222.9912,1
off exchange,20170104,SAES GETTERS SPA,3679687.5264,1
ATHEX (Greece),20170104,KLEEMAN HELLAS SA,59064.8,1
ATHEX (Greece),20170104,KLEEMAN HELLAS SA,4383.4,1
ATHEX (Greece),20170104,KLEEMAN HELLAS SA,42377.58,1
off exchange,20170104,BERGEN GROUP ASA,552478.916,2
off exchange,20170104,BERGEN GROUP ASA,805847.5766,2
off exchange,20170104,BERGEN GROUP ASA,552478.916,2
off exchange,20170104,BERGEN GROUP ASA,243822.5886,2
off exchange,20170104,BERGEN GROUP ASA,55287.6669,2
XETRA (Germany),20170104,GRENKE AG,151792.7,3
off exchange,20170104,BERGEN GROUP ASA,44216.8751,2
off exchange,20170104,BERGEN GROUP ASA,38714.6253,2
off exchange,20170104,BERGEN GROUP ASA,165730.4164,2
OTC,20170104,MIRACULUM SA,235197.0005,2
SIX (Switzerland),20170104,DOTTIKON ES HOLDING AG,33789.6223,3
off exchange,20170104,REDT ENERGY PLC,58930.0,2
OTC,20170104,PELIKAN AG,52500.0,1
off exchange,20170104,ECOSLOPS SA,15006.0,1
Euronext Paris (France),20170104,DIRECT ENERGIE,2584.0,3
off exchange,20170104,ROTHSCHILD AND CO SCA,404795.6149,1
Euronext Paris (France),20170104,ROTHSCHILD AND CO SCA,174030.9201,1
Euronext Paris (France),20170104,DBV TECHNOLOGIES,324793.8929,3
OTC,20170104,LES HOTELS DE PARIS,1506000.0,2
Euronext Paris (France),20170104,DBV TECHNOLOGIES,125638.0104,3
Alternext Paris (France),20170104,CARMAT,44327.066,3
Alternext Paris (France),20170104,ABIVAX SA,12172.8828,3
NASDAQ STOCKHOLM AB,20170104,HEBA FASTIGHETS AB,11691.0745,3
OTC,20170104,CLEMONDO GROUP AB,56620.4506,2
NYSE/NASDAQ/AMEX (USA),20170104,CHICAGO BRIDGE & IRON CO,20580.2878,1
off exchange,20170104,CORE LABORATORIES NV,0.0,1
off exchange,20170104,CORE LABORATORIES NV,0.0,1
off exchange,20170104,CORE LABORATORIES NV,0.0,1
NYSE/NASDAQ/AMEX (USA),20170104,CORE LABORATORIES NV,315902.8033,1
off exchange,20170104,CORE LABORATORIES NV,0.0,1
NYSE/NASDAQ/AMEX (USA),20170104,CORE LABORATORIES NV,68481.6304,1
off exchange,20170104,SPARK NETWORKS INC,0.0,1
off exchange,20170104,SPARK NETWORKS INC,0.0,1
market transaction,20170104,SANDVINE CORP,49323.0571,3
off exchange,20170104,SPARK NETWORKS INC,0.0,1
off exchange,20170104,SPARK NETWORKS INC,0.0,1
off exchange,20170104,SPARK NETWORKS INC,0.0,1
off exchange,20170104,SPARK NETWORKS INC,0.0,1
NYSE/NASDAQ/AMEX (USA),20170104,LYONDELLBASELL INDUSTRIES NV,46904.3874,1
off exchange,20170104,LYONDELLBASELL INDUSTRIES NV,0.0,1
NYSE/NASDAQ/AMEX (USA),20170104,LYONDELLBASELL INDUSTRIES NV,4470.9555,1
off exchange,20170104,LYONDELLBASELL INDUSTRIES NV,0.0,1
NYSE/NASDAQ/AMEX (USA),20170104,LYONDELLBASELL INDUSTRIES NV,3739.3446,1
off exchange,20170104,LYONDELLBASELL INDUSTRIES NV,0.0,1
NYSE/NASDAQ/AMEX (USA),20170104,LYONDELLBASELL INDUSTRIES NV,15445.1189,1
off exchange,20170104,PARAGON BANKING GROUP,0.0,1
LSE (UK),20170104,PARAGON BANKING GROUP,1869929.0713,2
Istanbul (Turkey),20170105,KUYUMCUKENT GAYRIMENKUL,8391.5889,3
	FIRST NORTH SWEDEN,20170105,MYFC HOLDING AB,10485.2686,3
Istanbul (Turkey),20170105,PINAR SU SANAYI VE TICARET,6936.4232,3
Istanbul (Turkey),20170105,PINAR SU SANAYI VE TICARET,199314.8809,3
Istanbul (Turkey),20170105,PINAR SU SANAYI VE TICARET,7163.878,3
off exchange,20170105,LUKARDI SPOLKA AKCYJNA,336260.8165,2
OTC,20170104,AUXILIA SA,625614.4881,2
off exchange,20170105,LUKARDI SPOLKA AKCYJNA,336260.8165,2
Oslobors (Norway),20170105,TIDE ASA,208544.0078,1
OTC,20170104,MIRACULUM SA,235197.0005,2
market transaction,20170104,SCHUMAG AG,1047.0,3
OMX-Copenhagen (Denmark),20170105,BLUE VISION A/S,6304.458,3
OMX-Copenhagen (Denmark),20170105,BLUE VISION A/S,6156.5165,3
OMX-Helsinki (Finland),20170105,AKTIA BANK PLC,67224.45,3
XETRA (Germany),20170105,VITA 34 AG,60818.21,3
Warsaw Stock Exchange (Poland),20170105,INTERSPORT POLSKA,1718.0323,3
Warsaw Stock Exchange (Poland),20170105,INTERSPORT POLSKA,453.013,3
SIX (Switzerland),20170105,NEBAG,18043.3531,3
Wiener Boerse (Austria),20170105,BWT GROUP,26634.0,1
Budapest (Hungary),20170105,OTP BANK PLC,1379220.0072,3
Italian regulated market (Italy),20170105,BUZZI UNICEM SPA,234700.0,3
OMX-Copenhagen (Denmark),20170105,DFDS AS,194376.2068,1
market transaction,20170105,CARTERA INDUSTRIAL REA SA,13.65,3
off exchange,20170105,VIKING SUPPLY SHIPS AB,4459793.6218,2
off exchange,20170105,VIKING SUPPLY SHIPS AB,4340967.8995,2
off exchange,20170105,VIKING SUPPLY SHIPS AB,361915.2465,2
XETRA (Germany),20170105,UNIPER SE,71170.0,3
SIX (Switzerland),20170105,INTERROLL HOLDING AG,59598.3507,3
Istanbul (Turkey),20170105,EURO MENKUL KIYMET,41953.6087,3
ATHEX (Greece),20170105,TITAN CEMENT CO SA,42034.73,3
ATHEX (Greece),20170105,TITAN CEMENT CO SA,68553.82,3
ATHEX (Greece),20170105,TITAN CEMENT CO SA,30331.59,3
off exchange,20170105,TUI AG,0.0,1
XETRA (Germany),20170105,SCHNEIDER-NEUREITHER & PARTN,157441.99,3
LSE (UK),20170105,INTERCONTINENTAL HOTELS GRP,778251.1275,3
AKTIETORGET,20170105,SYDSVENSKA HEM AB,85131.5404,3
OTC,20170105,CRETE PLASTICS SA,122400.0,2
OTC,20170105,CRETE PLASTICS SA,122400.0,2
off exchange,20170105,LS TECH-HOMES SA,75602.1213,1
London (UK),20170105,CURTIS BANKS GROUP LTD,25565.805,3
London (UK),20170105,CURTIS BANKS GROUP LTD,34088.8207,3
Warsaw Stock Exchange (Poland),20170105,KOMPAP,2474.2896,1
Warsaw Stock Exchange (Poland),20170105,KOMPAP,11049.3477,1
Warsaw Stock Exchange (Poland),20170105,KOMPAP,79.5434,1
Warsaw Stock Exchange (Poland),20170105,KOMPAP,3195.3519,3
off exchange,20170105,KOMPAP,2474.2896,2
Warsaw Stock Exchange (Poland),20170105,KOMPAP,4877.64,3
off exchange,20170105,KOMPAP,1988.5851,2
NOT OTC,20170105,TUI AG,1167485.98,3
NOT OTC,20170105,TUI AG,2669583.17,3
NOT OTC,20170105,TUI AG,18102949.5564,3
NOT OTC,20170105,TUI AG,1892386.02,3
NOT OTC,20170105,TUI AG,3322201.5938,3
off exchange,20170105,NURMINEN LOGISTICS PLC,10000.08,1
Warsaw Stock Exchange (Poland),20170105,I3D SA,192.4116,3
market transaction,20170105,PRIVATE ASSETS AG,7000.0,3
Istanbul (Turkey),20170105,TOFAS-TURK OTOMOBIL FABRIKAS,30599.9021,3
